,time_posted,job_title,employer,location,salary,url,description,experience,key_words
0,Featured,Data Engineer - Energy Efficiency,Eutility Pty Ltd,Sydney,NaN,http://www.seek.com.au/job/38144608?type=promoted&searchrequesttoken=17660f88-aa97-4089-a042-50330e543f81,"Eutility have a new role within an expanding energy management department for a data engineer with an interest in energy management and sustainability. As lead data engineer you will report directly to the General Manager of the Smart Energy Services Department. This role will be responsible for supporting a team of data analysts and engineers to deliver solutions for clients who wish to reduce their carbon footprint and cost of energy to their business. The role will also encompass mentoring and guiding projects undertaken by student interns and data analysts.
You will be responsible for
internal solutions for unique requirements to interpret data using Python, VBA and Tableau
Work with the user experience team to design and build solutions
Active contribution to challenges posed by business needs
Technical support for software
Create process and application documentation
Contribution to the development of client facing web solution with external developers
High volume batch processing
You will need
Bachelor degree in Computer Science or other related degree
3 years experience in a similar role
Have the confidence and communication skills to liaise with customers and team members
Ability to Work unsupervised but also be part of the team with frequent accurate reporting
Ability and desire to learn new techniques and technologies, and to share mentor and your knowledge with others.
Be well organised and able to prioritise
Strong data capabilities with ability to design data solutions using Python and VBA
Ability to work with external developers and internal managers/developers
Experience within the energy sector is desirable but not essential
Australian Citizenship or Permanent Residency status
About you
Motivated and driven to provide outstanding service to clients and stakeholders;
Australian Citizen or Permanent Resident
Passionate and a team player.

What We Offer
Eutility has more than 30 years of experience in managing business’s energy costs, usage, procurement and planning. It is a place where you can put your innovative thinking into gear and work within a motivated, specialist team delivering sustainable solutions nationally.
How to Apply
Please send a copy of your CV and cover letter to ccorcoran@eutility.com.au, if you have any questions regarding this position please contact Carmel Corcoran on 02 8228 7417.
Please do not apply for this post if you do not have Australian Citizenship or Permanent Residency Status.",3 years,python
1,Featured,Civil Engineer,East Arm Civil Pty Ltd,Darwin,"100,000 - 149,999",http://www.seek.com.au/job/38245455?type=promoted&searchrequesttoken=17660f88-aa97-4089-a042-50330e543f81,"About the business
East Arm Civil are a multi disciplined Civil Construction Company operating since 1996 and undertakes Projects throughout the Northern Territory. Our head office is based in Darwin and we specialise in all aspects of Civil Construction.
About the role
To take advantage of this opportunity you will have a history of being a key component within an Engineering team delivering Civil Construction Projects.
Provide Civil Engineering design for bulk earthworks, roads, drainage, pavements and all aspects of Civil Construction.
Planning Engineering activities using Engineering Work Packages;
Preparing engineering calculations, technical specifications, data sheets and reporting;
Preparing Material Take Offs/Bill of Quantities;
Assist in Tender preparations;
Demonstrated ability to achieve consistently high standards within both budgetary and schedule constraints;
Highly considered will be your drive and commitment to deliver projects to meet both our contractual obligations and to enhance relationships with clients and all stakeholders.  
Benefits and perks
The opportunity to work in an environment that values a solid work/life balance and work on large scale projects within the Northern Territory.  Career advancement and training opportunities are encouraged.
Skills and experience
Degree in Civil Engineering
Sound exposure to roads and pavement projects
Previously worked on major earthworks or heavy civil projects
Strong leadership skills
High level of organisational skills
Be able to communicate as part of a team
Exceptional understanding of OH&S Policies
Ability to think and react quickly to any difficulties which may arise in the worksplace
Excellent computer skills; excell, word, databases, outlook
Solid QA/QC experience
Experience with Project Controls
Current Drivers Licence & White Card
Australian Resident including experience working on Projects throughout Australia",NaN,NaN
2,25m,Process Control Network Engineer,Yokogawa,Perth,NaN,http://www.seek.com.au/job/38310299?type=standard&searchrequesttoken=17660f88-aa97-4089-a042-50330e543f81,"The Company
Yokogawa Australia and New Zealand is a leading supplier of industrial automation products into a wide range of industries. The industries include electricity generation, food processing, mining, oil and gas and renewable energy. Yokogawa has been supporting these industries by supplying the most advanced control and instrument systems and by installing and commissioning the products with our engineering and service team.
Yokogawa is a specialist industrial automation company with the highest R&D reinvestment policy in the industry. To minimise the lifetime cost of ownership of its products, Yokogawa products are designed to the highest quality standards and designed for an exceptional working life span.
We are in the market for a Process Control Network Engineer to join our Perth based Oil & Gas team.
The Role
The Process Control Network Engineer is responsible for the support, administration and troubleshooting of hardware, operating systems and software for PCN/Demilitarized Zone (DMZ) Servers and Workstations.
Major Accountabilities
Working on support, administration and troubleshooting of hardware, operating systems and software for PCN/Demilitarized Zone (DMZ) Servers and Workstations. This includes working on domain controllers, Human Machine Interface (HMI) workstations, Input/output (IO) Servers, Engineering Stations, MES/PES (Exaquantum) Servers (CPIMS servers), Yokogawa Human Interface Station (HIS) Servers, Yokogawa HIS Stations, Yokogawa EXAOPC stations, Yokogawa Generic Subsystem Gateway (GSGW) and SIOS, Yokogawa Plant Resource Manager (PRM) stations, APC related machines, data storage servers, dedicated backup utility servers and any other third party machines.
Working on system builds as per company's standards, patch management, virus protection, and backup and recovery management.
Maintaining IP compliance of all equipment in PCN and DMZ by adhering/implementing company's Information Risk Standards.
Maintaining up to date inventory as per company's standards.
Management of all licenses and software installed on equipment in PCN and DMZ.
Monitor reliability and health of PCN and DMZ equipment in the form of daily checks. Identify problems and implement corrective actions. Report all issues to management.
Support and integrate information technology standards into the PCN environment
Execute all vendor's activities related to systems/subsystems during their visit to the plant
Qualifications, Skills and Experience
Qualifications
Bachelor's degree in Electronics/Instrumentation Engineering, or equivalent professional qualification in line with the job description.
Advanced Networking certifications [Cisco Certified Network Professional (CCNP), Cisco Certified Security Professional (CCSP), etc.
Skills & Experience
With 8 to 10 years of relevant experience in design, installation, commissioning and managing process control network security within a large industrial organization, preferably in Oil & Gas industry with proven operational experience in Automation systems security.
Possess strong knowledge of Process Automation, Integrated Control System (DCS, ESD, FGS), Subsystems and Supervisory Control and Data Acquisition (SCADA) environments.
Solid PCN security methodology, concept, design and support experience.
Process Control Network security specialist, industrial control security specialist.
Yokogawa ICSS network and system support
Performance monitoring of ICSS components
Software upgrades and maintenance by way of patches
Recommending system software/hardware improvements
Efficiency improvements in maintenance delivery
Maintain Backups of all ICSS software
Documentation and reporting
Coordination with EPCM teams as required
ICSS network and system troubleshooting
Awareness of relevant AS standards
Proven problem solving skills
Ability to interpret customer specifications into designs.
Ability to lead projects/teams
System Integration and Testing experience
A Team Player with a high focus on Customer Satisfaction
Personal Qualities
Leadership capability
Sound communication and interpersonal skills
Ability to plan and manage tasks effectively.
Ability to work cooperatively in a team environment
Strong relationship management skills
Ability to work under pressures.
Results/ outcome driven
Additional Information
Your continuing employment with Yokogawa Australia may be subject to medical, police and security checks. Australian citizenship or permanent residency is a usual requirement of employment. Additionally, you will be required to successfully pass an employment Medical and Drug and Alcohol Test; ability to attain a TBOSIET HUET; ability to obtain a clean/acceptable Police Clearance; ability to travel Internationally and Domestically; ability to work on Remote Sites, both Onshore and Offshore
Yokogawa is proudly recognised as a Global Solutions and Service company guided by a vision of diversity and commitment to equal employment opportunity.",10 years,NaN
3,34m,Senior .NET Developer for large Queensland Government Client,AgileDev Solutions Pty Ltd,Brisbane,NaN,http://www.seek.com.au/job/38310293?type=standard&searchrequesttoken=17660f88-aa97-4089-a042-50330e543f81,"AgileDev solutions (www.agiledevsolutions.com.au) is currently looking for a highly experienced Senior .NET web developer for a  contract with a large Queensland government client.  The contract will start ASAP for a period of twelve (12) months. The client has indicated  additional  extensions may be exercised at it's discretion.

AgileDev Solutions specialises in:
offering experienced agile .NET based developers who are skilled in learning the client's business, prototyping, data modelling and software development
developing software from the early requirements gathering/prototyping stage through to software construction, production and support
using a combination of Agile/waterfall methodologies in highly audited environments
Engagement
A Senior .NET developer is required to provide high quality support and enhancements on a large and significant payroll program.  The program is progressively implementing a suite of integrated .NET applications using a range of technologies e.g. Microsoft SQL Server, Angular 4.0, ASP.NET WebForms and MVC ,SQL Reporting Services etc.

Successful candidates will be expected to have
at least 10 years commercial experience in building web solutions for large government organizations or similar. Must have demonstrated experience in analysis and system design, data modelling, acceptance testing, estimating etc
at least 10 years demonstrated commercial experience in .NET/MVC/MVVM/Angular 2/SQL Server development
some technical team leading experience is desirable
  This is primarily a programming role and Angular development experience is highly desirable.

Closing date to submit an application is midnight Wed 13th   February, 2019
 ",10 years,NaN
4,43m,"Clinical Psychologist | 3 month contract, possibly FT |",Sugarman Australia,Brisbane,50 - 55 p.h. + Super + Additional Benefits,http://www.seek.com.au/job/38310283?type=standard&searchrequesttoken=17660f88-aa97-4089-a042-50330e543f81,"The purpose of this role is to provide clinical guidance to other clinicians and to provide thorough, effective, tailored and timely clinical support. With a wide range of clients/participants from children to adults you will have practical application of a variety of therapeutic models for those who are living with severe PTSD, AOD, Family service, complex cognitive and intellectual disability.
Key responsibilities:
Provide holistic and clinical behavioural assessment reflective of the client’s needs and their goals
Provide leadership to other Clinicians and take on complex cases
Working closely with the health professionals to ensure all protocols are reflective of best practice
Provide any additional assessment and planning, where necessary
Input to further training and development plans
Actively provide feedback and input on development and training for clinical planning
Ensure data collection is accurate and provide reports to manager
Actively participate in developing policies and procedures as required
Provide leadership to staff and effectively liaise with external stakeholders
Monitor and assess quality service delivery plan



Required relevant experience:
Extensive experience in mental health or disability
Practical experience in delivering clinical and therapeutic assessment/method
Sound knowledge of relevant legislation, policies and procedures
Ability to manage complex caseload and consistent service delivery
Strong understanding of current trends and best practices
Strong knowledge of the NDIS (Desirable)
To be considered for the role you must have:
A tertiary qualification in Psychology or Clinical Psychology or similar
Full AHPRA registration and must be clinically endorsed
Working with children blue card
National police check (or willing to)
Benefits on offer:
Competitive salary according to your relevant experience and qualification
Extensive personal and professional development
Ongoing career coaching and career advancement
Salary sacrifice options
For more information please contact James Maruyama on (07) 3905 4300 or simply click on the APPLY button below.",NaN,NaN
5,5h,Registered Psychologist | South Brisbane | Children and Youth,Sugarman Australia,Brisbane,80k - 85k p.a. + Super + Salary sacrifice and mo,http://www.seek.com.au/job/38310064?type=standard&searchrequesttoken=17660f88-aa97-4089-a042-50330e543f81,"As a successful Registered Psychologist you will provide exceptional clinical support and case management while developing effective plans that are goal orientated for youth who are living with complex mental health issues including trauma. You will be part of program purposely built to deliver exceptional person-centred assessment and planning. You will also liaise with the individuals, their family, friends and external stakeholders. With extensive support from management and a collaborative work environment you will provide ongoing advocacy support to your clients.
Key responsibilities:
Provide holistic and clinical behavioural assessment reflective of the client’s needs and their goals
Working closely with the health professionals to ensure all protocols are reflective of best practice
Provide any additional assessment and planning, where necessary
Input to further training and development plans
Actively provide feedback and input on development and training for clinical planning
Ensure data collection is accurate and provide reports to manager
Actively participate in developing policies and procedures as required
Provide leadership to staff and effectively liaise with external stakeholders
Monitor and assess quality service delivery plan


Required relevant experience:
Extensive experience in complex mental health
Practical experience in delivering clinical and therapeutic assessment/method
Sound knowledge of relevant legislation, policies and procedures
Ability to manage complex caseload and consistent service delivery
Strong understanding of current trends and best practices
Strong knowledge of the NDIS (Desirable)


To be considered for the role you must have:
A tertiary qualification in Psychology or Clinical Psychology or similar
Full AHPRA registration
Working with children blue card
National police check (or willing to)
Full driver’s license
Benefits on offer:
Competitive salary according to your relevant experience and qualification
Extensive personal and professional development
Ongoing career coaching and career advancement
Salary sacrifice options


For more information please contact James Maruyama on (07) 3905 4300 or simply click on the APPLY button below.",NaN,NaN
6,5h,TECHNICAL BUSINESS ANALYST!,Saul Recruitment,Sydney,NaN,http://www.seek.com.au/job/38310051?type=standard&searchrequesttoken=17660f88-aa97-4089-a042-50330e543f81,"Master Data Management!
Established, reputable and ever-growing IT software solutions company in the area of Master Data Management (MDM), Data Quality and Analytics
Collaborative and friendly culture
$$90 -120k Base + Super Commensurate with experience 
Location - Bondi Junction close to public transport
This organisation is a market leader in its niche area of information management. The team takes pride in exceptional customer service and produces only the highest quality of work.

In this role, you will participate in both pre-sales and post-sale activities, analysing requirements, documenting specifications and liaising with customers and team members to ensure successful implementation each and every time. Projects will vary, but are always data centric implementations in large corporate and government organisations.

Due to the nature of the work you will need to have Australian Citizenship or be eligible for Australian Citizenship in the near future and be eligible to obtain relevant security clearance.

Position Requirements:
Technical experience in substantial data centric IT projects.
Excellent written and oral communication skills, with an ability to communicate ideas in both technical and user-friendly language.
Tertiary qualification in the field of business systems, computer science or management information systems or 3 years related work experience.
Functional understanding of database technologies and related business processes such as SQL, ETL, data cleansing
Excellent analytical and creative problem-solving skills.
Demonstrated ability to effectively communicate to a wide range of stakeholders in a customer facing role.
Strong customer service orientation.
Ability to work as part of a team and autonomously.
Ability to effectively prioritise and execute tasks in a delivery focused environment.
A TRUE OPPORTUNITY TO SHINE AND BE REWARDED FOR IT!",3 years,NaN
7,13h,Senior Developer,Tabcorp,Sydney,NaN,http://www.seek.com.au/job/38309931?type=standout&searchrequesttoken=17660f88-aa97-4089-a042-50330e543f81,"Our Company
Tabcorp is a world-class diversified gambling entertainment group and an ASX50 company.  
In December 2017 we combined with Tatts Group and now operate the iconic brands Tatts, TAB, NSW Lotteries, Golden Casket, SA Lotteries, Keno, Sky Racing and Sky Sports Radio. We also deliver leading gaming services and products through Tabcorp Gaming Solutions, MAX and Ebet.
Our 5,000-plus strong team is as diverse as Australia itself. Our people drive familiar brands which ignite passion and excitement in millions of Australians.
This leadership is reflected in who we are. If, like us, you’re a passionate, positive playmaker and you want to use your talent to create amazing outcomes, we’d love to hear from you.  
Role Snapshot/Role Summary
In the role of the Senior Developer; you will design, develop, test and document high quality and cost-effective solutions that meet and exceed support and operational requirements. The overall mission will be to deliver world class technology services and solutions.
The role will focus on
Ensuring repeatable success through use of agreed methodologies, including Agile project management, development and test practices
Participating in the design, development, testing and 3rd level support of effective and high-quality solutions
Supporting an environment where agility and continuous improvement is built into work practices
Building strong business relationships based on trust and delivery. Maintain and foster relationships with all Employee UX, Customer & Data stakeholders, including those throughout the business unit, across the organisation, and external suppliers and customers.
Providing outstanding customer service and experiences, own and act on issues effectively and efficiently. Strive to exceed customer expectations
Promoting and enabling an environment of positivity, self-empowerment, improvement and development
Our Ideal Person
To be successful in this role you will have Accredited tertiary qualifications in a relevant field, 5+ years’ experience working with relevant technologies including all aspects of product lifecycle & process development, delivery and support. You will have demonstrated experience in agile ways of working and the ability to drive adoption within a team, demonstrated knowledge of continuous delivery practices such as CI/CD with solid understanding of BDD for writing and executing test cases. You will require working knowledge of NodeJS,Reactjs, and Redux. Experience working with Docker and in a cloud based infrastructure provider such as AWS is highly desirable.
When you join our team, you’ll be able to take advantage of a range of benefits including flexible working arrangements, leadership and development programs and community programs.
Tabcorp is committed to creating an inclusive workplace where all our people feel valued for their unique qualities and have a sense of belonging. If you need assistance or adjustments to fully participate in the application process, please contact tabcorprecruitment@tabcorp.com.au
 ",5+ years,NaN
8,13h,Information Management Technical Specialist,AMP,Sydney,NaN,http://www.seek.com.au/job/38309917?type=standard&searchrequesttoken=17660f88-aa97-4089-a042-50330e543f81,"Technology and Operation’s vision is to deliver easy, effortless experiences. Technology and Operations represent one third of AMP’s workforce. 
Information Management Centre of Excellence (IMCoE) establishes best practice IM and uplifts IM capability at the enterprise level and are responsibility for the development of enterprise IM related policies, standards and procedures.  Representing IM across the business and at the executive level, including key forums such as the AMP Data Governance Council
The Information Technical Specialist is responsible for developing an understanding of data environments across AMP and formally communicating that understanding through tools and processes supporting Information Management capabilities defined in the Data Management Framework.
Focus areas include;
Understanding and refining data requirements by working closely with business analysts, project sponsors and business owners, data stewards, data custodians as well as fellow analysts, architects, developers and testers.
Performing analysis on various data sources to gather insights and knowledge supporting information management with a focus on the areas of data governance, metadata management, data quality, reference data management and master data management.
Establishing and maintaining data asset catalogues, business glossaries, data lineage, data profiling, reconciliations and data quality monitoring
 10+ years of  data architecture, data warehouse and/or data analysis experience in complex integration environments, in Data Warehousing and/or Analytics domains
Experience with Data Governance , MetaData Management, Reference Data Management & Data Quality Tools is highly desired
Proficient in data analysis and requirements mapping to functional designs
Understands project Management / SDLC delivery methodology in an agile environment
Technical capabilities:
Data Analysis & traceability management
Enterprise Data Governance , Information Architecture , Metadata Management , Data Quality tools (Talend Metadata Manager, Collibra, Manta, Informatica Enterprise Data Catalog)
Working for AMP means working for a company that empowers its people to make a difference, while providing the support of a highly talented, experienced team. We understand that it is our customers that make us great.  And because people achieve their best in different ways, our culture is flexible and supportive, to give you the freedom to focus on outcomes rather than just processes.",10+ years,NaN
9,13h,IT Security Advisor,"Department of Environment, Land, Water and Planning VIC",Melbourne,NaN,http://www.seek.com.au/job/38309865?type=standout&searchrequesttoken=17660f88-aa97-4089-a042-50330e543f81,"We are building an inclusive workplace to help realise the potential of our employees, embrace our differences, and apply our diverse thinking to innovation and delivering services to Victorian communities. All jobs can be worked flexibly, and we encourage job applications from Aboriginal people, people with disabilities, young people and people from culturally diverse backgrounds.
An exciting opportunity exists to join the growing cyber security team in a major Victorian Government department. The department is a dynamic work environment with flexible and supportive culture. This will be your opportunity to make a difference and strengthen security practices.
The IT Security Advisor is accountable for providing technical advice and support to ensure the integrity and accessibility of DELWP information and data is protected in line with DELWP ICT and Cyber Security strategies. Working closely with colleagues in the Information and Cyber Security Team, and with internal and external technology partners and vendors, the IT Security Advisor will interpret legislative and policy requirements to provide expert advice on IT security, conduct information security threat and risk assessments, manage and report on information security incidents and develop and strengthen the department's information security posture through strategic contribution.
Highly desirable, the successful candidate will hold a tertiary qualification in information security, computer science or related discipline and security certifications, i.e. CISM, CISSP, CRISC, CISA, or other security certifications. The candidate must also demonstrate excellent working knowledge of relevant information security standards and their applicability, and considerable work experience providing expert IT security advice across a wide range of business systems and IT infrastructure.
This is an ongoing position available.
To be considered for this position, your application should include a supporting statement demonstrating that you meet the key selection criteria and any job requirements specified in the position description. 
Applications close at midnight Sunday 17 February 2019.
To apply online and for further information on position description and selection criteria visit www.careers.vic.gov.au.",NaN,NaN
